QuestionID,QuestionBook,QuestionTopics,QuestionText,QuestionType,OptionA,OptionB,OptionC,OptionD,
DSE2020_Q19,C1_Ch.1,網絡服務共享,參考網絡圖，教師電腦通常會為桌上電腦提供什麼服務？(1) 檔案共享 (2) 電郵 (3) 網頁瀏覽,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q20,C1_Ch.1,無線網絡接達點,為了讓所有桌上電腦可連接該無線打印機，應執行以下哪項行動？,單選題,應把 AP 安裝在交換器上,教師電腦連至交換器與教師電腦間,應以路由器代替交換器,無線打印機應連接至 AP,
DSE2020_Q24,C1_Ch.1,網絡傳輸品質,下列哪項（些）可改善視像會議的質素？(1) 較高解像度的攝影機 (2) 較大的儲存容量 (3) 較高的網絡頻寬,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q27,C1_Ch.1,網絡界面卡功能,網絡界面卡的主要功能是什麼？,單選題,找出傳送數據包的路徑,讓電腦透過網絡進行通訊,提升通訊連結的保安水平,支援衛星通訊,
DSE2021_Q22,C1_Ch.1,網絡連接設備 (Router),下列哪項在連接兩個 LAN 時是常用的？,單選題,防火牆,寬頻數據機,路由器,抗病毒軟件,C
DSE2021_Q25,C1_Ch.1,網絡架構 (IoT/AP),莉莉利用流動電話來控制家中連至 Wi-Fi 網絡的電器。這涉及下列哪項？ (1) LAN (2) 互聯網 (3) 無線網絡接達點,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2021_Q26,C1_Ch.1,網絡服務 (雲端儲存),李先生租用網上檔案儲存服務而不設立檔案伺服器。為什麼？ (1) 互聯網頻寬不足 (2) 無需額外技術人員 (3) 增加儲存容量時較有彈性,多選題,只有 (1),只有 (2),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2021_Q28,C1_Ch.1,網絡傳輸媒介 (無線),操場已安裝有線網絡，但學校還是安裝了無線網絡接達點。為什麼？ (1) 學生可在課堂上使用平板電腦 (2) 網絡可每天 24 小時使用 (3) 數據傳輸率較高,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q17,C1_Ch.1,網絡故障排除,莉莉發現不能透過家中電腦接達互聯網。以下哪項是可能的成因？,單選題,ROM 容量太小,硬碟數據傳輸率低,顯示卡出現故障,網絡界面卡出現故障,D
DSE2022_Q23,C1_Ch.1,電子學習 (效益),下列哪些是電子學習的潛在效益？(1) 追蹤學習進度 (2) 減少硬件資源 (3) 提供彈性日程,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2022_Q25,C1_Ch.1,網絡傳輸媒介 (光纖),在電腦網絡上使用光纖，原因是：(1) 支援有線無線 (2) 傳輸率高 (3) 支援長距離,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2022_Q27,C1_Ch.1,互聯網應用 (串流),觀看串流視像應考慮下列哪些項目？(1) 網絡頻寬 (2) 抗毒軟件 (3) 硬碟容量,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2023_Q15,C1_Ch.1,網絡介面卡功能,以下哪項是電腦內部網絡介面卡的主要功能？,單選題,連接一個有線路由器，並向指定區域投射 Wi-Fi 訊號,把數據包從一個網絡引導至另一個網絡,把來自此電腦的數據包過濾及轉發到另一裝置,發送和接收網絡訊號,D
DSE2023_Q23,C1_Ch.1,網絡連接設備,在以下網絡圖中，電腦可接達互聯網。X 和 Y 是什麼？,單選題,"X: 交換器, Y: 路由器","X: 防火牆, Y: 交換器","X: 防火牆, Y: 路由器","X: 路由器, Y: 交換器",C
DSE2023_Q26,C1_Ch.1,傳輸媒介比較,下列哪項有關有線網絡和無線網絡是正確的？,單選題,有線網絡有更穩定的連接,有線網絡有較高的網絡安全,無線網絡有更穩定的連接,無線網絡有較高的網絡安全,A
DSE2025_Q19,C1_Ch.1,網絡傳輸媒介,家健採用無線網絡而非有線網絡，為什麼？(1) 增加擺放電腦位置彈性 (2) 維持穩定連接 (3) 加強網絡保安,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2025_Q20,C1_Ch.1,網絡連接設備 (Switch),當電腦 C 關掉後，以下哪項／些活動仍可進行？(1) B 檔案複製到 A (2) A 列印文件 (3) A 刪除 B 的檔案,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),D
DSE2020_Q25,C1_Ch.2,網絡協定組合,瀏覽 https://www.gov.hk 時涉及下列哪項（些）協定？(1) FTP (2) IP (3) DNS,多選題,只有 (1),只有 (2),只有 (2) 和 (3),(1)、(2) 和 (3),
DSE2020_Q26,C1_Ch.2,網絡主機識別,下列哪項（些）可用來辨別互聯網上的主機？(1) 電郵地址 (2) IP 位址 (3) 電腦名稱,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2021_Q27,C1_Ch.2,網絡協定 (HTTP),下列哪項關於 HTTP 是正確的？ (1) 用作傳送超文本文件 (2) 用作翻譯 URL 為 IP 位址 (3) 用作儲存瀏覽歷史,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q22,C1_Ch.2,劃一資源定位符 (URL),描述 https://www.abc.edu.hk/en/：(1) en 是路徑 (2) 域名是 abc (3) 香港註冊教育機構,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2022_Q26,C1_Ch.2,網絡協定 (IP),在網絡中使用互聯網協定 (IP) 的原因是：,單選題,數據在相同通訊規則下傳送,安裝了相同操作系統,最高數據傳輸率相同,此網絡是 LAN 而非 WAN,A
DSE2023_Q20,C1_Ch.2,互聯網協定 (HTTP),下列哪項有關 HTTP 的用途是正確的？,單選題,它可把網域名稱轉換成 IP 位址,它可區分無線網絡和有線網絡,它可從網絡伺服器提取網頁,它可通過一個加密通道把數據加密和解密,C
DSE2023_Q22,C1_Ch.2,網絡協定 (綜合),莉莉以瀏覽器上載一張照片到她的社交媒體賬戶。這可能涉及下列哪個／些協定？ (1) IP (2) DNS (3) HTTP,多選題,只有 (1),只有 (2),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2023_Q24,C1_Ch.2,互聯網協定 (IP),下列哪句／些關於 IP 位址是正確的？ (1) 它們包含位置資訊，讓網絡裝置可接達來通訊 (2) 它們用以把所接收的數據重組還原成原來的序列 (3) 它們在互聯網和內聯網都可使用,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2023_Q25,C1_Ch.2,網域名稱系統 (DNS),下列哪項是網域名稱系統 (DNS) 伺服器的常見輸入和輸出？,單選題,"輸入: HTML, 輸出: IP 位址","輸入: IP 位址, 輸出: MAC 位址","輸入: 網域名稱, 輸出: MAC 位址","輸入: 網域名稱, 輸出: IP 位址",D
DSE2025_Q18,C1_Ch.2,互聯網協定 (IPv4),以下哪個／些是有效的 IPv4 位址？(1) 10.512.10.0 (2) 1.2.3.4 (3) 192.168.1.256,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2025_Q24,C1_Ch.2,互聯網協定 (TCP/IP),以下哪些關於利用 TCP/IP 傳送數據的陳述是正確的？(1) 利用 IP 辨認裝置 (2) 數據包在目的地重組 (3) IP 決定一條固定路徑,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2025_Q25,C1_Ch.2,URL 結構與安全性,以下哪些關於 https://abc123.edu.hk/intro.docx 是正確的？(1) 檔案轉換為 HTML 格式 (2) 屬於教育機構 (3) 頂級域名是 abc123 (4) 傳送時加密,多選題,只有 (1) 和 (3),只有 (1) 和 (4),只有 (2) 和 (3),只有 (2) 和 (4),D
DSE2020_Q28,C1_Ch.3,身份鑑定技術,當小姐登入網站時，她從手提電話接收到一個包含密碼的 SMS 短訊。此短訊是關於什麼？,單選題,奇偶檢測,數碼水印,數碼簽署,身份鑑定,
DSE2020_Q36,C1_Ch.3,網絡保安預防,在電腦網絡中，下列哪項（些）可保障個人私隱免被黑客攻擊？(1) 建立數據備份 (2) 更新操作系統 (3) 安裝防火牆,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),
DSE2020_Q39,C1_Ch.3,保安設備識別,對話框顯示「X 已阻隔此程式的一些功能」。對話框內的 X 是什麼？,單選題,防火牆,瀏覽器,檔案管理員,裝置管理員,
DSE2021_Q40,C1_Ch.3,網絡保安 (身份驗證),下列哪項是在網上系統中驗證用戶身份的常見措施？ (1) DNS (2) 保安權標 (3) 防火牆,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2022_Q24,C1_Ch.3,網頁設計考慮,在設計網頁時，下列哪些需要考慮？(1) 載入網頁時間 (2) 瀏覽用戶友善度 (3) 色彩組合,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2022_Q35,C1_Ch.3,網絡保安 (勒索軟件),電腦受到勒索軟件攻擊，檔案不能開啟。應立刻：,單選題,把硬碟格式化,中斷網絡連接,更新抗電腦病毒軟件,啟用防火牆,B
DSE2022_Q36,C1_Ch.3,系統開發 (保安私隱),購物商場開發 App。下列哪個考慮事項應該「最不重要」？,單選題,網絡安全,個人數據私隱,操作系統,應用程式檔案大小,D
DSE2023_Q21,C1_Ch.3,互聯網應用 (Cookies),志明瀏覽一個新網站時接受了第三方 cookie。這會有下列哪個／些後果？ (1) 個人資訊可能會被收集 (2) 網絡的頻寬可能會被降低 (3) 他的電郵賬戶中的地址簿可能會被洩露,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2023_Q36,C1_Ch.3,網絡保安技術,下列哪些程式可增強使用電腦的安全性？ (1) 廣告程式 (2) 防火牆 (3) 加密程式,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2023_Q38,C1_Ch.3,網絡保安 (SSL),在網站使用保密插口層 (SSL) 有什麼優點？ (1) 數據傳輸率較高 (2) 傳輸的數據已加密 (3) 可以隱藏網站的 IP 位址,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2025_Q08,C1_Ch.3,網頁創作 (瀏覽器應用),某教師上載 HTML 格式文件，使學生可透過瀏覽器觀看。以下哪項／些是該教師通常不會做的？(1) 檢查錯別字 (2) 上載前壓縮檔案 (3) 連結多媒體元素,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2025_Q22,C1_Ch.3,網頁創作 (HTML),以下哪些關於 HTML 的陳述是正確的？(1) 它是一種程式編寫語言 (2) HTML 檔案包含純文字 (3) 它是跨平台的,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2025_Q23,C1_Ch.3,網絡應用故障 (圖像),某網頁未能顯示圖像，成因可能是？(1) 解像度較屏幕低 (2) 儲存在錯誤目錄 (3) 網頁與瀏覽器 OS 不同,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2020_Q05,D_Ch.1-3,布爾邏輯簡算,假設 X = 2 和 Y = 3。下列哪項布爾簡算式的結果是「真」？,單選題,((X > Y) AND (Y > 4)) OR (1 > X),((X < Y) AND (Y > 4)) OR (1 > X),(X > Y) AND ((Y < 4) OR (1 < X)),(X < Y) AND ((Y < 4) OR (1 < X)),
DSE2020_Q29,D_Ch.1-3,演算法追蹤 (i),參考流程圖，執行後 i 的輸出值是什麼？,單選題,2,3,4,5,
DSE2020_Q30,D_Ch.1-3,演算法追蹤 (n),參考流程圖，執行後 n 的輸出值是什麼？,單選題,1,2,3,4,
DSE2020_Q31,D_Ch.1-3,演算法追蹤 (K),執行給定的演算法後，輸出 K 的值是什麼？,單選題,14,33,46,60,
DSE2020_Q32,D_Ch.1-3,演算法追蹤 (Fib),執行給定的演算法後，輸出的序列是什麼？,單選題,1 1 2 2 4,1 1 2 3 5,1 2 3 4 5,1 2 4 8 16,
DSE2020_Q33,D_Ch.1-3,演算法追蹤 (Loop),執行給定的演算法後，輸出 Q 的值是什麼？,單選題,4,8,16,32,
DSE2021_Q29,D_Ch.1-3,演算法追蹤 (二進制),"下列算法（X=9, Y=2，重複輸出 X mod Y 並 X = X // Y）的輸出是什麼？",單選題,10,110,101,1001,D
DSE2021_Q31,D_Ch.1-3,布爾邏輯簡算,"假設 X=5, Y=6, Z=7。下列哪項布爾簡算式的結果是「真」？",單選題,((X<0) AND (Y>=6)) AND (Z>10),((X<0) OR (Y<=6)) AND (Z>10),((X<0) OR (Y>=6)) AND (Z>10),((X<0) OR (Y<=6)) OR (Z>10),D
DSE2021_Q32,D_Ch.1-3,演算法追蹤 (陣列),以陣列 P 運行算法（若 P[i]=1 則 Q = 1-Q），輸出是什麼？,單選題,100,110,1000,1001,A
DSE2021_Q33,D_Ch.1-3,演算法追蹤 (循環),"下列算法（sum=0, j=12，重複 sum=sum+1, j=j-2 直至 j<=2）的輸出 sum 是什麼？",單選題,7,6,5,4,C
DSE2021_Q34,D_Ch.1-3,演算法追蹤 (累加),"A[i]=i, S=0, i=1，當 i>S 執行 S=S+A[i]*A[i+1]... 輸出 S？",單選題,40,20,8,2,D
DSE2021_Q35,D_Ch.1-3,演算法追蹤 (變量),"下列算法（X=6, Y=4, H=2，循環更新 X, Y）執行兩次後 Y 的值是什麼？",單選題,10,6,4,2,C
DSE2022_Q28,D_Ch.1-3,演算法邏輯 (循環),算法 2 中缺失部分是什麼，使變量最終值與算法 1 相同？,單選題,(X=20) AND (Y>15),(X=20) OR (Y>15),(X<>20) AND (Y<=15),(X<>20) OR (Y<=15),C
DSE2022_Q29,D_Ch.1-3,演算法追蹤 (Modulo),下列算法中，輸入什麼值「不會」輸出「完成！」？,單選題,1,2,4,6,C
DSE2022_Q30,D_Ch.1-3,演算法目的分析,參考算法（當 N <> 888 執行 j <- j + N），此算法目的是？,單選題,計算輸入次數,找出最大輸入值,計算輸入值總和,計算平均值,C
DSE2022_Q31,D_Ch.1-3,哨兵值 (Sentinel),數值「888」在上述算法中有什麼作用？,單選題,終止輸入,檢測正數,限制範圍,把數值加入 j 內,A
DSE2022_Q32,D_Ch.1-3,計算思維 (問題定義),問題定義在解決問題時有什麼重要性？,單選題,確立設計和工作範圍,繞過問題分析,不需要定義子問題,開發沒有錯誤的算法,A
DSE2023_Q27,D_Ch.1-3,演算法追蹤 (Loop),"空運行下列算法（N <- 2, 當 N < 8 輸出 '', N <- N + 3）。會輸出多少個「」？",單選題,0,2,3,4,B
DSE2023_Q28,D_Ch.1-3,演算法追蹤 (陣列),假設陣列 N 內所有數值都是 2，算法 1（計算總和）的輸出是什麼？,單選題,0,5,10,20,C
DSE2023_Q29,D_Ch.1-3,演算法設計,算法 1 和算法 2 的目的應該相同。算法 2 缺少了哪些語句？ (1) i <- 0 (2) i <- 1 (3) i <- i + 1 (4) 如果 i=1 則 i <- i+1,多選題,只有 (1) 和 (3),只有 (2) 和 (3),只有 (1) 和 (4),只有 (2) 和 (4),B
DSE2023_Q30,D_Ch.1-3,演算法追蹤 (運算),"以下算法（A=5, B=11, C=7, 循環 C 由 2 至 3 執行 B <- A + B）的輸出 (A + B) 是什麼？",單選題,16,21,26,32,C
DSE2023_Q31,D_Ch.1-3,演算法追蹤 (輸入),"以下算法輸入 'Y', 'N', 'Y', 'N', 'Y'，輸出的 S 是什麼？",單選題,1#2#3,1#1#1,##3,###,A
DSE2023_Q32,D_Ch.1-3,演算法目的分析,算法（NUM 陣列，尋找 A）有什麼目的？,單選題,數算 NUM 內數值的數目,計算 NUM 內數值的總和,找尋 NUM 內數值的最大值,找尋 NUM 內數值的最小值,C
DSE2023_Q33,D_Ch.1-3,模組化方法優點,下列哪些是設計算法時採用模組方法的好處？ (1) 一個模組可在其他場景重複使用 (2) 縮短算法執行時間 (3) 模組更容易去設計和測試,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2025_Q26,D_Ch.1-3,布爾邏輯簡算,"假設 A=3, B=5, C=8，以下哪個布爾算式傳回 True？",單選題,(A+B>C) AND ...,((A+B)>C) OR ...,((A+B)>C) AND ...,(A+B>=C) AND ...,D
DSE2025_Q28,D_Ch.1-3,流程圖追蹤,如果 N=10，M1 和 M2 輸出多少罐汽水？,單選題,1 ; 2,2 ; 1,2 ; 2,2 ; 3,C
DSE2025_Q29,D_Ch.1-3,演算法邏輯判斷,假設 N=0，以下哪句是正確的？,單選題,兩個算法都輸出,兩個都不輸出,只有 M1 輸出,只有 M2 輸出,C
DSE2025_Q31,D_Ch.1-3,演算法目的 (數據驗證),在算法中，使用循環的目的是什麼？,單選題,數據驗證,數據有效性檢驗,數據整合,數據生成,B
DSE2025_Q32,D_Ch.1-3,演算法變換,在版本 2 內未填寫的部分是什麼，以使其效果與版本 1 相同？,單選題,P,P * 2,P * 3,P * 5,C
DSE2025_Q33,D_Ch.1-3,演算法邏輯 (範圍),算法可能輸出哪個數值？,單選題,9,10,22,23,D
DSE2025_Q34,D_Ch.1-3,演算法追蹤 (變量 K),K 的最終值是什麼？,單選題,11,9,7,5,A
DSE2025_Q35,D_Ch.1-3,演算法追蹤 (輸出值),此算法的輸出是什麼？,單選題,25,16,11,9,A
DSE2025_Q36,D_Ch.1-3,演算法追蹤 (N 加法),算法執行後的輸出 N 是什麼？,單選題,3,9,10,41,C
DSE2025_Q37,D_Ch.1-3,演算法追蹤 (變量交換),算法最後輸出的 Y 是什麼？,單選題,3,5,8,15,B
DSE2025_Q38,D_Ch.1-3,演算法追蹤 (S 累加),算法輸出的 S 是什麼？,單選題,7,9,10,16,D
DSE2020_Q34,D_Ch.4-6,系統測試數據,為更新 ATM 現金提取限制系統（限制 200-10000），應使用哪組測試數據？,單選題,"50, 500, 7000, 10000","100, 200, 300, 500... 30000","100, 200, 600, 950, 10000, 11000",100... 30000,
DSE2021_Q30,D_Ch.4-6,解題程序 (測試),編寫了程式源碼後，根據解難程序，應執行下列哪項？ (1) 概述輸入輸出要求 (2) 以邊際個案測試程式 (3) 界定問題範圍,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2022_Q33,D_Ch.4-6,程式編寫 (模組化),下列哪項是模組化編程的優點？(1) 用戶手冊簡單 (2) 較易追蹤 (3) 團隊合作促進編程,多選題,只有 (1),只有 (2),只有 (1) 和 (3),(1)、(2) 和 (3),D
DSE2022_Q34,D_Ch.4-6,軟件測試 (測試數據),為什麼要預備合適的測試數據？(1) 偵測錯誤 (2) 處理異常輸入 (3) 驗證預期結果,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2023_Q06,D_Ch.4-6,軟件測試 (測試數據),考慮用於檢查普通中學學校考試成績的偽代碼。下列哪組測試值是恰當的？,單選題,"-10, 30, 40","10, 25, 45","100, 99, 98","99, 0, 50",D
DSE2025_Q27,D_Ch.4-6,程式編寫 (無限循環),算法中應插入哪句語句以避免無限循環？,單選題,輸出 i,如果 i < 10,i <- i + 1,i <- i - 1,D
DSE2025_Q30,D_Ch.4-6,軟件測試 (測試數據),檢查巴士乘客折扣，哪組數據最適合用作測試此算法？,單選題,"11, 22, 33...","10, 11, 12, 59, 60, 61","7, 10, 11, 45, 55, 60","1, 2, 3, 4, 5",B
DSE2020_Q07,E_Ch.1,電子政府優點,下列哪項（些）是電子政府的好處？(1) 政府資訊可讓公眾容易以數碼方式存取 (2) 增強政府資訊的數據保安 (3) 可縮窄社會的數碼隔閡,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2022_Q40,E_Ch.1,科技創新 (機械人),下列關於使用機械人哪項正確？(1) 準確跟從程序 (2) 代替所有僱員 (3) 接手厭惡危險任務,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2020_Q23,E_Ch.2,資訊素養行為,下列哪項對於提升學生的資訊素養並不適合？,單選題,網上觀看紀錄片,在論壇搜尋裝機軟件的安裝密碼,閱讀學校內聯網的通訊,經互聯網找尋電腦歷史,
DSE2020_Q35,E_Ch.2,健康與網絡使用,一名學生沉迷網遊，每天玩超過 8 小時。他將面對哪些健康問題？(1) 睡眠問題 (2) 視力問題 (3) 情緒問題,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),
DSE2020_Q38,E_Ch.2,資訊道德與私隱,下列哪項（些）行動未經會員同意進行是不恰當的？(2) 傳送個人資料予其他網店 (3) 永久保存已註銷會員資料,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q40,E_Ch.2,電腦人體工學,下列哪些設定是必需的良好用法？(1) 手托角度可調校 (2) 顯示器角度可調校 (3) 桌子高度可調校,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),
DSE2021_Q37,E_Ch.2,資訊素養 (可靠性),使用互聯網資訊編寫報告應考慮什麼？ (1) 資訊不可靠 (2) 免費 (3) 黑客盜取資料,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2021_Q38,E_Ch.2,社會議題 (數碼隔閡),下列哪項可縮減社會內的數碼隔閡？ (1) 向學生提供電腦 (2) 提供自助點餐機 (3) 電子付款取代現金,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q12,E_Ch.2,資訊素養,為什麼資訊素養在知識型社會是重要的？(1) 分辨網上假資訊 (2) 編寫 AI 程式 (3) 明白網上資訊缺乏可靠性,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2022_Q37,E_Ch.2,科技對社會的影響,沉迷網遊和社交媒體的可能後果：(1) 焦慮毛病 (2) 侵犯版權 (3) 體能下降,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2022_Q38,E_Ch.2,資訊道德與私隱,使用社交媒體程式時，下列哪些是恰當的？(1) 明白條款 (2) 提供必須資料 (3) 盡快轉發資訊,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2023_Q35,E_Ch.2,資訊道德與私隱,以下哪些是使用社交媒體平台的適當措施？ (1) 管理私隱設定以控制誰可以看到你的帖子 (2) 使用一個強大登錄密碼並定期更改 (3) 留意你提供了什麼個人資料,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2023_Q37,E_Ch.2,社會議題 (數碼隔閡),下列哪些可以幫助消除數碼隔閡？ (1) 公共圖書館提供電腦供學習 (2) 向有需要的學生提供互聯網連接 (3) 向有需要的學生提供網上英語課程,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2020_Q37,E_Ch.3,開放源碼軟件,開放源碼軟件的主要特徵是什麼？(1) 開發商可自訂售價 (2) 用戶可修改源碼 (3) 試用期內可使用所有功能,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2021_Q36,E_Ch.3,知識產權 (開放源碼),麗珊使用開放源碼軟件時可做什麼？ (1) 使用前尋求批准 (2) 修改源碼自用 (3) 修改並擁有整個版權,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2021_Q39,E_Ch.3,知識產權 (版權),下列哪項互聯網活動很可能侵犯了版權？ (1) 擷取 DVD 上載 (2) 分享自繪圖畫 (3) 下載新聞製作書籍,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2022_Q39,E_Ch.3,知識產權 (軟件授權),安裝軟件至另一部電腦沒侵犯版權，原因可能是：,單選題,授權容許,位於不同國家,使用不同操作系統,免費軟件,A
DSE2023_Q34,E_Ch.3,知識產權 (開放源碼),以下哪個／些是使用開放源碼軟件勝於免費軟件的優點？ (1) 較容易設置和使用 (2) 用戶可以修改源碼並在社群分享 (3) 開放源碼軟件是跨平台的,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2023_Q39,E_Ch.3,知識產權 (軟件授權),為什麼很多公司較喜歡商業軟件而非開放源碼軟件？ (1) 開放源碼軟件含有較多軟體錯誤 (2) 商業軟件開發者可提供更好的支援 (3) 開放源碼軟件不可以由公司去修改,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2025_Q39,E_Ch.3,知識產權 (開放源碼),開放源碼軟件的優點是什麼？(1) 免費使用 (2) 可修改源碼 (3) 共同協作可持續優化,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2025_Q40,E_Ch.3,資訊道德與法律,以下哪些不道德行為與知識產權有關？(1) 下載盜版電影 (2) 發送病毒郵件 (3) 入侵銀行系統 (4) 上載電視節目的視頻至互聯網,多選題,只有 (1) 和 (3),只有 (1) 和 (4),只有 (2) 和 (3),只有 (2) 和 (4),B