QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,OptionA,OptionB,OptionC,OptionD,answer,Marks,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-8,A1-3,模擬及數碼數據,下列哪些行動涉及轉換模擬數據至數碼數據？ (1)利用軟件將試算表檔案轉換為 PDF 檔 (2)利用軟件將語音轉換為文本 (3)利用數碼相機拍攝相片,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-10,A1-2,數據驗證,某裝置在網絡內發送 8 位元的數據，而最後的一個位元為奇偶檢驗位。下列已接收的數據中，其中一個留有錯誤。它是哪一個呢？,0010 0010,1111 0000,0011 0011,1010 0111,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-11,A1-2,數據驗證,細看以下網上登記表格：此網上登記程序涉及下列哪（些）項目？ (1) 數據驗證 (2) 數據壓縮 (3) 數據有效性檢驗,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-1,A1-2,數據驗證,某香港身份證號碼被錯誤地輸入了電腦系統，如下所示：下列哪些可幫助找出此錯誤？ (1) 範圍檢查 (2) 輸入數據兩次 (3) 檢查數位,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-9,A1-2,數據驗證,在網上系統內要求用戶輸入密碼兩次的目的 是什麼？,數據有效性檢驗,數據驗證,數據組織,數據預備,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-7,A1-2,數據驗證,當建構網上電子郵件戶口時，需要完成以下步驟：輸入密碼、重新輸入密碼。重新輸入密碼的目的是什麼？,數據收集,數據驗證,數據組織,數據有效性檢驗,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-3,A1-2,數據驗證,下列哪項是改變學校內聯網帳戶密碼時的一個數據驗證例子？,輸入新密碼兩次,輸入新密碼和流動電話號碼,輸入最少包含一個特殊字符的新密碼,輸入與舊密碼相異的新密碼,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-6,A1-2,數據類型,參考以下數據庫表 STUDENT，回答問題 6 和 7。STUDENT 中的 SID 可能是什麼數據類型？ (1) 整數 (2) 字符 (3) 布爾,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,A1-2,數據類型,志偉編寫了一個程式來處理學生資料，其中包活學生姓名、平均分和修讀科目數目。志偉應選用哪些數據類型來儲存相關的學生資料？,學生姓名: 布爾, 平均分: 整數, 修讀科目數目: 整數,學生姓名: 布爾, 平均分: 實數, 修讀科目數目: 實數,學生姓名: 字符, 平均分: 實數, 修讀科目數目: 整數,學生姓名: 字符, 平均分: 實數, 修讀科目數目: 整數,D,2,MC,,,,,,,,,,,,,,,,,,,,,,
2020-1A-4,A1-3,數據表示,某公司有 30000 名僱員，每位僱員均有一個職員編號。表示職員編號最少需要幾個位元？,14,15,16,32,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,A1-3,數據表示,某公司設計了一個處理員工記錄的流動應用程式。每筆記錄中，以 10 個位元來儲存員工號碼和 12 個字節來儲存中文姓名。這個流動應用程式可支援多少筆員工記錄？,2^10,2^12,2^(10+12),2^(10×12),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-7,A1-3,數字系統與表示法,參考以下P、Q和R的值。 P = 100010002 Q = 1000100010 R = 1000100016 下列哪項是正確的？,R > Q > P,Q > R > P,Q > P > R,R > P > Q,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-4,A1-3,圖像檔案格式,芝芝打算將她的相片上載至雲端儲存。在這情況下，相片採用 JPG 格式而非 BMP 格式有什麼好處？,減少相片的長度和闊度,減少相片的檔案大小,增加相片的像素數目,增加相片的顏色數目,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-9,A1-3,圖像表示,一個黑白顯示板利用 8×8 像素來展示一個圖案。左上方 4 個像素在任何時間均是黑色。此顯示板可展示多少個不同圖案？,60,120,2^60,2^64,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-7,A1-1,資訊時代,下列哪項（些）是電子政府的好處？ (1) 政府資訊可讓公眾容易以數碼格式存取。 (2) 增強政府資訊的數據保安。 (3) 可縮窄社會的數碼隔閡。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-9,A1-1,資訊時代,下列哪些是資訊時代的特點？ (1)資訊透過互聯網廣泛散布 (2)公眾人士可快速獲取資訊 (3)在互聯網上所有公司的資料是正確的,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-37,A1-1,資訊時代,資訊年代的出現帶來哪些改變？ (1)需要更多辦公室空間 (2)新的資訊及通訊科技相關工作出現，並改變人力市場。 (3)有更多機會獲得資訊和學習新事物,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-1,A1-3,溢出誤差,下列哪項（些）關於二進制補碼的句子是正確的？ (1) 算術運算中不會出現溢出誤差。 (2) 8 位元數字的最大值是 0111 1111。 (3) 8 位元數字的最小值是 1111 1111。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-2,A1-3,溢出誤差,下列哪個以 8 位元二進制補碼表示數字的加法運算，會引至上溢錯誤？,0011 0110 + 0011 1100,0100 0010 + 1000 0001,1001 1100 + 1111 0110,1011 1010 + 1100 0100,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-12,A1-3,溢出誤差,下列運算涉及 8 位二補碼數字。哪一項會產生溢出錯誤？,0001 0101 + 1000 1000,0111 0011 + 1000 1000,1100 0110 + 1000 1000,1111 1100 + 1000 1000,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-17,A1-3,條碼編碼,怎樣有一張音樂會電子入場券，如下所示：下列哪項（些）關於電子入場券上的條碼的句子是正確的？ (1) 即使條碼的一部分損毀，條碼上的資料仍可被解碼。 (2) 每次只能把一種數據類型編碼，例如數字數據。 (3) 條碼最多可在三個方向成功掃描。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-13,A1-3,條碼編碼,下列兩個條碼 X 和 Y，分別見於汽水罐和廣告海報中，它們主要的分別是什麼？ (X為一維條碼，Y為二維碼),X 的面積必須大於 Y 的。,只有 Y 能被智能手機閱讀。,Y 能夠展示更多數據。,Y 不能表示字符。,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-4,A1-3,字符編碼,莉莉使用文本編輯器輸入以下 5 個繁體中文字符，並儲存為文字檔，檔案大小為10 個字節。世上無難事。下列哪項（些）關於該文字檔的句子是正確的？ (1) 每個中文字符佔 2 個字節。 (2) 以 ASCII 編碼表示字符。 (3) 此文字檔不支援英文句。,只有 (1),只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-6,A1-3,字符編碼,下列哪個（些）字符集可表示簡體中文字符、繁體中文字符和英文字符？ (1) ASCII (2) 統一碼 (3) GB 碼,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-3,A1-3,字符編碼,字符 ‘X」 和 「z」 的 ASCII 編碼以十六進制表示，分別為 ____ 和 5A。,3A,48,58,59,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-16,A1-3,字符編碼,下列哪項／些是使用統一碼勝於大五碼的優點？ (1)統一碼是跨平台的 (2)統一碼有較大的字符集 (3)在統一碼內可定義新的字符,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-1,A1-3,字符編碼,三個純文本檔案包含一些字符，如下所示： (1) 2017. (2) JULY. (3) 二零一七. 假設採用了統一碼 (UTF-8)，下列哪個關於檔案大小的比較是正確的？,(1) > (3),(2) > (1),(2) < (3),(3) > (2),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-5,A1-3,字符編碼,下列為韓文文本例子：「안녕하세요」。下列哪個字符編碼法可用來表示韓文文本？ (1) ASCII (2) 統一碼 (3) 大五碼,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-5,A1-3,多媒體檔案壓縮,下列的原始檔案大小均為 10 MB。在一般情況下把它們轉換後，哪一個轉換後的檔案大小應最小的？,testA.MP3 轉換後的檔案 testA.AVI,testB.MP3 轉換後的檔案 testB.WAV,testC.BMP 轉換後的檔案 testC.JPG,testD.GIF 轉換後的檔案 testD.BMP,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-3,A1-3,多媒體檔案壓縮,芝芝掃描照片時使用 JPG 格式而不是 BMP 格式，原因可能是什麼？ (1) 縮減照片檔案的大小。 (2) 增加每張照片的像素數量。 (3) 增加已顯示的顏色數量。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-23,A1-3,多媒體檔案壓縮,下列哪項不是壓縮檔案格式？,ZIP,MP3,MP4,PNG,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-6,A1-3,多媒體檔案壓縮,莉莉建立了一個壓縮檔，當中包含儲存於多個資料夾中的圖像檔案。她上載該壓縮檔至互聯網與朋友分享。使用壓縮檔有什麼好處？ (1)維持資料夾結構 (2)莉莉的朋友在下載此壓縮檔前可以預覽圖像 (3)此壓縮檔可以使用密碼保護,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-4,A1-3,多媒體檔案壓縮,下列所有原始檔的大小均為 1MB。在正常情況下，壓縮這些檔案後，哪個壓縮檔的大小應是最大的？,原始檔: testA.html, 壓縮檔: testA.zip,原始檔: testB.doc, 壓縮檔: testB.zip,原始檔: testC.txt, 壓縮檔: testC.zip,原始檔: testD.jpg, 壓縮檔: testD.zip,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-2,A1-3,多媒體檔案格式,志明建立了一份學校通訊，並把它上載至網頁。該通訊的格式為可攜式文件格式(PDF)，而不是 Word 文件格式。這是因為 (1) 它可包含超連結。 (2) 該通訊將在任何裝置上展示得完全相同。 (3) 通訊內的圖像會有較高的解像度。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-8,A1-3,多媒體檔案格式,莉莉傳送了附有一份文件的電郵，該文件是 PDF 格式，而不是 DOC 格式。原因是麼？ (1) 可加密此文件。 (2) 可保留文件的頁面設計。 (3) 可包含多媒體元素。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-5,A1-3,多媒體檔案格式,小芬使用 WAV 格式而非 MP3 格式來錄製音樂表演。這樣有什麼好處？ (1) 有效地把檔案大小較大。 (2) 音質會更佳。 (3) 沒有跨平台問題。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-15,A1-3,多媒體檔案格式,當莉莉選擇投影片放映的檔案格式時，下列哪項是重要的？,支援加密,跨平台,物件連接與嵌人(OLE),支援SQL,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-27,A1-3,多媒體檔案格式,志明打算上載學校網站的背景音樂，但其網站的儲存空間有限。下列哪項是合適的檔案格式？,WAV,AVI,MPEG2,MP3,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-6,A1-3,多媒體檔案格式,在某學院內，每張學生註冊表格均有一個獨一的條碼。該學院將會把這些表格數碼化，並以 PDF 格式儲存。這樣處理表格有什麼主要好處？ (1)可以在不同操作系統上提取和使用這些表格 (2)可以更換舊表格 (3)可以在高質素的紙張上列印這些表格,只有(2),只有(3),只有(1)和(2),只有(1)和(3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-12,A1-3,多媒體檔案格式,下列哪些元素可以包括在 PDF 檔案內？ (1)照片 (2)視像 (3)超連結,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-14,A1-3,十六進制,在網頁內定義背景顏色時使用了顏色編碼。顏色編碼的十六進制數值的範圍是什麼？,0 至 99,0 至 FF,1 至 64,1 至 AA,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,A1-3,十六進制,某文字檔包含字符串「IT*」。志明利用一個程式去檢視該字符串以十六進制表示的 ASCII 編碼，如下所示：2A 49 54 2A。儲存該字符串需要多少個位元？,8,16,32,64,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-2,A1-3,二進制補碼,下列哪個十進制數值相等於以 8 位元二進制補碼表示的 1010 0001？,33,-33,-95,-95,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-8,A1-3,二進制補碼,11111111是一個8位二進制補碼數字，其十進制數值是什麼？,-1,0,1,255,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,A1-3,二進制補碼,下列哪個是-8 以 8 位元二進制補碼表示的十進制數值？,1000 1000,1111 1000,1000 0000,0000 1000,B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-3,A2-4,數據分析,工廠經理想檢視生產線的 時間和成本限制，以決定需要購入多少台機器。他應使用哪項試算表功能？,樞紐分析表,多個工作表,假設」情境,使用多個條件將數據排序,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-9,A2-4,數據分析,李小姐計劃以儲存在數據庫內的學生資料和考試分數，設計及製作學生的成績單。她應該做什麼？,利用數據庫軟件建立報告。,利用文書處理軟件建立通至此數據庫的超連結。,利用試算表軟件建立 SQL 指令。,利用試算表軟件匯入數據，並建立樞紐分析表。,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-12,A2-4,圖表,某教師為演講建立包括以下投影片的演示。該教師應編輯投影片的哪項（些）元素，以建立更吸引的演示？ (1) SQL (2) 字型 (3) 圖表,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-13,A2-4,數據操縱和演示,下列哪項是直接處理數據收集的例子？,讀取氣象讀數。,擷取紙本發票至自動櫃員機。,把相集從數碼相機上傳掃描。,把舞會在分紙上的測驗分數輸入至試算表。,A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-1,A2-4,試算表,下列哪項在文字處理軟件內可有效地格式化一份文件？ (1) 以用戶指定的字型和字體大小設定或預設值 (2) 將所有文字的格式設定為預先設定的標題 (3) 停用自動校正功能,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-13,A2-4,樞紐分析表,小芬使用試算表來儲存數據庫關於網上會議的紀錄，如下所示：她打算準備樞紐分析表，以找出每名參加者參與會議的次數。「參加者」應置於下列哪項？,篩選,欄,列,值,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-10,A2-4,試算表,當編輯試算表內的數值數據時 ，下列哪句是正確的？,只可自動更新相關的數值數據。,只可自動更新附有這些數值數據的相關圖表。,只可自動更新在單一工作表內的相關數據。,可自動更新多個工作表內的相關數據。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-11,A2-4,數據分析,對於一間連鎖式便利店，在下列哪項／些例子中應該使用試算表上的「假設」情境？ (1)改變不可參數衣的預算每月支出 (2)製作每月銷售分析 (3)比較不同分店的銷售數據,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-13,A2-4,圖表,細閱下列調查回家方法的數據：(表格顯示步行、校巴、港鐵、的士、私家車的男女人數)。下列哪項試算表圖表最能表示首三種回家方法的數據？,A ( clustered column chart ),B ( pie chart ),C ( area chart ),D ( line chart ),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-1,A2-4,圖表,志明在試算表內建立了圖表1，他想藉改善圖表1，使它成為圖表2。他須修改哪項圖表設定？,圖例,資料來源,座標軸,圖表類型,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-7,A2-5,SQL,"將 STUDENT 匯出至試算表。哪項試算表功能可產生與在 DBMS 工具下執行下列 SQL 指令後的輸出相若？ SELECT CLASS, COUNT(*) FROM STUDENT GROUP BY CLASS",排序,在公式內使用儲存格參照,新增篩選和嵌入,樞紐分析表,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-11,A2-5,SQL,某數據庫表 PET 內有 6 筆記錄，如下所示：以下的 SQL 語句的輸出會包括什麼數值？ SELECT SUM(WEIGHT) FROM PET GROUP BY PTYPE,(1) 109 (2) 15 (3) 34 (4) 60,只有 (1),只有 (2),只有 (1) 和 (4), (3) 和 (4),D,2,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-4,A2-5,數據庫,在數據庫軟件內傳達數據庫表時，用戶通常應設定什麼？ (1) 每個欄位的數據類型 (2) 每個欄位的記錄數目 (3) 主關鍵碼,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-8,A2-5,數據庫,莉莉是市場部經理，她計劃向每位客戶發出邀請信。她將會從客戶數據庫提取數據。她應進行什麼程序處理這些？ (1) 篩選 (2) 郵件合併 (3) 「假設」分析,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-11,A2-5,數據庫,在數據庫軟件內使用表格來輸入數據的主要優點是什麼？ (1) 減少輸入錯誤。 (2) 縮短 SQL 語句的執行時間。 (3) 需要較少儲存空間。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-10,A2-5,數據庫,在數據庫管理系統內使用表格的主要好處是什麼？,簡化輸入數據,簡化列印報告,節省儲存空間,在單一數據表查詢數據,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-2,A2-5,SQL,"數據庫表 PROD 包含七筆記錄，如下所示：(表格有PRANK, WEIGHT, PSTAT欄位)。執行下列 SQL 指令會輸出什麼？ SELECT MAX(WEIGHT) FROM PROD WHERE PSTAT <> 'S'",1,6,9,11,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-9,B-1,輸入設備,辦公室的門上安裝了射頻識別(RFID)讀寫機，芝芝的職員證內有 RFID 標籤，每個標籤的儲存容量為 2 KB。她的個人資料佔 200 個字節，她每次出入辦公室時，系統會記錄一個 40 個字節的記錄。假如職員證只會獨立儲存在她的職員證內，該職員證可儲存多少筆記錄？,44,45,48,50,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-14,B-1,輸入設備,下列哪項可以是指掃描文件和照片的掃描器的規格？ (1) 支援 802.11n (2) 24 位元色深 (3) 內置 4 MB RAM,只有 (1),只有 (2),只有 (1) 和 (3),(1) (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-20,B-1,輸出設備,以電子書閱讀器而非平板電腦來閱讀電子書的好處是什麼？ (1) 耗電量較低 (2) 重量較輕 (3) 計算能力較高,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-5,B-1,輸出設備,當在相紙上列印一張數碼相片時，相紙的上部分和下部分均未被使用。有什麼可能的原因？ (1)數碼相片和相紙的長闊比不相同 (2)數碼相片的檔案太小太大 (3)數碼相片的色深太低,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-21,B-1,輸入設備,莉莉打算為她的平板電腦購置一個鍵盤。下列哪個／些連接通常適用於鍵盤？ (1)光纖 (2)USB 電纜 (3)藍牙,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-25,B-1,輸出設備,芝芝打算購買彩色鐳射打印機，以作家中之用。她應考慮什麼規格？ (1)光度 (lm) (2)打印速度 (ppm) (3)解像度 (dpi),只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-23,B-1,輸出設備,在餐廳的銷售點系統中，下列哪項（些）是採用感熱式打印機來印製收據的原因？ (1)可保留收據列印本較長時間 (2)打印時安靜 (3)打印時間短,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-14,B-2,電腦硬件,小明打算購買一台新電腦作視像編輯之用。一般而言，下列哪項是他考慮時最不重要的因素？,計算能力,RAM 大小,USB 埠的數目,硬碟儲存容量,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-15,B-2,中央處理器,下列哪句關於 CPU 內的累加器是正確的？,它被算術及邏輯運算部件(ALU)作為計算之用。,它被控制部件(CU)用作暫存記憶體位址。,它儲存下一個須執行指令的記憶體位址。,它記錄在處理指令時的數據流動。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-16,B-2,記憶體,降低在家中電腦內 CPU 的時鐘比率會有什麼可能的結果？,耗用較少電量,增加顯示卡的溫度,增加 Wi-Fi 連接的性能,加強對電腦黑客入侵的防護,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-19,B-2,記憶體階層,把下列各項按數據傳輸速率以遞增方式排列。 (1) 固態硬碟(SSD) (2) 快取記憶體 (3) RAM, (1), (3), (2), (1) 和 (2),-3, (3),-2,,-1,-3,-1,-2,A,2,MC,,,,,,,,,,,,,,,,,,,,,,
2020-1A-14,B-2,電腦硬件,參考下列電腦 X、Y 和 Z 的規格，回答第 14 及 15 題。哪台（些）電腦的計算能力最佳？,X,Y,Z,Y 和 Z,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-15,B-2,電腦硬件,參考下列電腦 X、Y 和 Z 的規格，回答第 14 及 15 題。哪台（些）電腦的啟動時間最短？,X,Y,Z,X 和 Z,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-16,B-2,儲存設備,下列哪項不是 SSD 勝於硬碟機的優點？,消耗較少電力。,產生較少熱量。,支援隨機存取。,提供較高存取速度。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
