QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,OptionA,OptionB,OptionC,OptionD,answer,Marks,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-29,C2-4,網頁界面設計,細看下列網頁：(顯示一個水果列表)。下列哪項（些）可以更便於導航？ (1)表單 (2)框 (3)背景音樂,只有(2),只有(3),只有(1)和(2),只有(1)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-35,C2-5,網絡安全風險,ABC 咖啡店為顧客提供免費 WIFI，詳情如下：顧客不應使用此 WIFI 連接進行網上銀行服務，原因是因為,免費時段太短。,SSID 太短而易於被猜到。,透過此連接傳輸的數據沒有加密。,最高頻寬是太低。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-38,C2-5,惡意軟件,李小姐發現公司的檔案伺服器被勒索軟件感染。一些重要文件檔案均已被加密而無法開啟，她應如何處理？ (1) 嘗試把加密檔案複製於另一個檔案伺服器內部開啟。 (2) 就此事件向警方報案。 (3) 交付贖金以取得密碼。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-39,C2-5,惡意軟件,志明由朋友傳送的超連結安裝一個新遊戲時，有一個對話框彈出如下：「X 已阻攔此程式的一部分功能。容許此程式接達你的私人網絡？」對話框內的 X 是什麼？,防火牆,惡意軟件,檔案管理應用程式,裝置管理應用程式,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-35,C2-5,網絡安全風險,下列哪些會有保安風險？ (1)利用咖啡店內的公共電腦登入網上銀行 (2)使用商場提供的 Wi-Fi 網絡查閱電郵 (3)利用公共電腦檢查網頁的電子證書,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-38,C2-5,惡意軟件,勒索軟件是惡意軟件，它將受害人的電腦檔案加密，然後要求贖款來還原這些檔案。如何可減低受到勒索軟件的影響？ (1)定期建立電腦檔案備份 (2)不要開啟不知名的或仿冒詐騙的電子郵件 (3)不要透過 p2p 軟件下載盜版軟件,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-24,C2-5,遠程登入,莉莉在家中登入其公司內的電腦，並進行一些文字處理工作。以下哪句關於此遠程登入是正確的？,兩部電腦均須設有相同的文字處理軟件。,兩部電腦均須設有相同的防火牆。,此遠程登入支援數據加密。,由於涉及兩部電腦，因此在執行文字處理時速度較快。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-28,C2-6,認證方法,當小芬登入一網站時，她會從手提電話接收到 SMS 短訊，內含一個密碼。此 SMS 短訊是關於什麼？,密碼檢測,數碼水印,數碼簽署,單次密碼,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-36,C2-6,網絡保安措施,在電腦網絡中，下列哪項（些）可保障個人私隱免被黑客攻擊？ (1) 建立數據備份 (2) 更新操作系統 (3) 安裝防火牆,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-22,C2-6,網絡保安措施,下列哪項在連接兩個 LAN 時是常用的？,防火牆,寬頻數據機,路由器,抗病毒軟件,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-40,C2-6,認證方法,下列哪項是在網上系統中驗證用戶身份的常見措施？ (1) DNS (2) 保安權標 (3) 防火牆,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-34,C2-6,認證方法,某銀行設有保安室，只有很少員工能夠進入。下列哪項保安措施是最安全的接達控制？,密碼,智能卡,指紋,鎖匙,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-34,C2-6,網絡保安措施,下列哪項／些是為網上銀行鑒定客戶身分的保安措施？ (1)抗電腦病毒軟件 (2)保安權標 (3)數碼水印,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-37,C2-6,網絡保安措施,在互聯網上，為什麼我們需要保密插口層(SSL)？,IP 位址最少包含了四個數值。,可保護電源插口。,數據傳輸速度可更快。,可安全地傳輸數據。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-38,C2-6,資料加密技術,在通過互聯網傳輸機密資料時，使用數據加密的主要好處是什麼？ (1)黑客不能輕易收集加密數據 (2)黑客不能輕易讀取機密資料 (3)黑客不能輕易刪除機密資料,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-40,C2-6,認證方法,在電腦系統的認證中，使用指紋比較使用密碼有何好處？ (1)一般來說，輸入時間較短。 (2)系統開發的成本更低。 (3)用潔淨手指可減少錯誤。,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-12,D1-1,問題建構和分析,下圖顯示了「輸入—處理—輸出」周期的基本概念。X 和 Y 是什麼？,X: 統一碼 Y: 二進制數字,X: 互聯網 Y: 網路設備,X: 程式 Y: 儲存器,X: 數據 Y: 查詢,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-33,D1-1,問題建構和分析,"細閱以下輸人－處理－輸出(IPO)周期所展示的問題。下列哪句是不正確的？ (展示了一個包含輸入N1, N2, N3，處理AVE = (N1 + N2 + N3) / 3，輸出AVE的IPO圖)",此IPO周期展示了數據類型及數據結構。,所展示的問題是找出三個數值的平均數。,此IPO周期展示該問題的一個解決方法。,在「處理」內所顯示的流程圖的控制結構是序列的 。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-29,D1-2,布爾邏輯,age 是整數變量，而 IsStudent 是布爾變量。下列哪些布爾算式會產生相同結果？ (1) (age < 25) AND (IsStudent = TRUE) (2) NOT ((age >= 25) OR (IsStudent = FALSE)) (3) (age > 25) OR (IsStudent = TRUE),只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-30,D1-2,算法設計,以下算法的輸出是什麼？LENGTH ← 6 HEIGHT ← 5 AREA ← LENGTH * HEIGHT LENGTH ← 4 HEIGHT ← 3 輸出 AREA,12,20,24,30,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-32,D1-2,算法設計,細看以下算法：A ← 1 B ← 1 重複 輸出 B C ← A + B A ← B B ← C 直至 (B > 10) 「輸出 B」會被執行多少次？,4,5,6,7,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-34,D1-2,算法設計,細看以下流程圖的一部分：有多少個「A」會被輸出？,0,2,4,5,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-5,D1-2,布爾邏輯,假設 X = 2 和 Y = 3。下列哪項布爾算式的結果是「真」？,((X > Y) AND (Y > 4)) OR (1 > X),((X < Y) AND (Y > 4)) OR (1 > X),((X < Y) AND (Y < 4)) OR (1 < X),((X < Y) AND (Y > 4)) OR (1 < X),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-29,D1-2,算法設計,參考下列流程圖，回答第 29 及 30 題。P、P[1]、P[2]、P[3] 及 P[4] 的初始值分別為 2、7、-7、6、7 和 9。i 的輸出值是什麼？,2,3,4,5,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-30,D1-2,算法設計,參考下列流程圖，回答第 29 及 30 題。P、P[1]、P[2]、P[3] 及 P[4] 的初始值分別為 2、7、-7、6、7 和 9。n 的輸出值是什麼？,1,2,3,4,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-31,D1-2,算法設計,下列算法的輸出是什麼？N ← 10 K ← 0 當 N > 1 執行 N ← K + N K ← N N ← N ÷ 2 輸出 K,14,33,46,60,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-32,D1-2,算法設計,下列算法的輸出是什麼？P ← 0 Q ← 1 設 i 由 1 至 5 執行 如果 i < 2 則 輸出 i 否則 R ← P + Q P ← Q Q ← R 輸出 R,1 1 2 2 4,1 1 2 3 5,1 2 3 4 5,1 2 4 8 16,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-33,D1-2,算法設計,下列算法的輸出是什麼？P ← 1 Q ← 2 重複 P ← P + 1 Q ← Q * 2 直至 (P > 4) 輸出 Q,4,8,16,32,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-29,D1-2,算法設計,下列算法的輸出是什麼？X ← 9 Y ← 2 重複 輸出 (X / Y) 的餘數 X ← (X / Y) 的整數部分 直至 X = 0,10,110,101,1001,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-31,D1-2,布爾邏輯,"假設 X = 5, Y = 6 和 Z = 7。下列哪項布爾算式的結果是「真」？",((X < 0) AND (Y >= 6)) AND (Z > 10),((X > 0) OR (Y < 6)) AND (Z > 10),((X < 0) OR (Y >= 6)) AND (Z > 10),((X < 0) OR (Y < 6)) OR (Z > 10),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-33,D1-2,算法設計,下列算法的輸出是什麼？sum ← 0 j ← 12 重複 sum ← sum + 1 j ← j – 2 直至 j < 2 輸出 sum,7,6,5,4,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-35,D1-2,算法設計,下列算法的輸出是什麼？X ← 6 Y ← 2 H ← 2 當 H > 0 執行 X ← X + Y Y ← X – Y X ← X – Y H ← H – 1 輸出 Y,10,6,4,2,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-32,D1-2,算法設計,NUM是一整數陣列。 以下算法的輸出是什麼？ K <- 0 當K <= 100執行 NUM[K] <- K x K K <- K +l 輸出(NUM [1] + NUM [2]),7,25,49,100,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-29,D1-2,算法設計,下列流程圖的部分是用來表示在電影院票務訂購系統內的一項任務。這項任務是什麼？ (菱形決策方塊，是/否分支),列印戲票,計算票價,顯示「歡迎」訊息,將輸入的購票數目作有效性檢驗,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-31,D1-2,算法設計,以下算法的輸出是什麼？ K <- 0 設 N 由 1 至 3 K <- K + N x N 輸出 K,3,9,14,30,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-32,D1-2,布爾邏輯,細閱下列語句： 如果 NOT ( X > 30 OR ( Y AND Z ) ) 則輸出 '****'。下列哪個 X、Y 和 Z 值的組合會使 '****' 顯示出來？ TRUE 代表「真」，而 FALSE 代表「假」。,X=20 Y=TRUE  Z=TRUE,X=30  Y=FALSE  Z=FALSE,X=40  Y=FALSE  Z=TRUE,X=50Y=FALSE  Z=TRUE,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-30,D1-2,算法設計,下列算法是用作計算 (1^2 + 2^2 + 3^2 + ... + N^2) 的值。 輸入 N S <- 0 (方格內) S <- S + N x N N <- N - 1 輸出 S。方格內應是什麼？,N > 0,N > 1,N < 0,N < 1,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-32,D1-2,算法設計,細看以下流程圖的一部分：(一個循環，條件為 X >= Y)。假設 X 和 Y 的初始值分別為 14 和 4。輸出是什麼？,0,1,2,3,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-33,D1-2,布爾邏輯,假設 x = 1、y = 2 和 z = 3。下列哪個布爾算式是「真」？,((X = 1) AND (Y > -2)) AND (Z > 3),((X = 1) AND (Y > 2)) OR (Z > 3),((X = 1) OR (Y > -2)) AND (Z < 3),((X = 1) AND (Y > -2) AND (Z > 3)),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-31,D1-3,陣列的基本算法,"N 是一個陣列，而 N[1]、N[2]、N[3] 和 N[4] 分別儲存了 1、3、5 和 7。下列算法的輸出是什麼？K ← 6, i ← 4 當 (i > 0 AND N[i-1] > K) 執行 i ← i – 1, N[i] ← K 輸出 N[4]",4,5,6,7,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-33,D1-3,陣列的基本算法,Y 是一個陣列。下列算法的輸出是什麼？Y[1] ← 4 設 k 由 1 至 5 執行 Y[k+1] ← Y[k] + k 輸出 Y[5],10,14,15,19,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-32,D1-3,陣列的基本算法,以陣列 P 的初始值運行，下列算法的輸出是什麼？Q ← 0 設 i 由 1 至 4 執行 如果 P[i] = 1 則 Q ← 1 – Q 輸出 Q,0100,0110,1000,1001,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-34,D1-3,陣列的基本算法,下列算法的輸出是什麼？設 i 由 1 由 5 執行 A[i] ← i S ← 0 i ← 1 當 i > S 執行 S ← S + A[i]*A[i+1] i ← i + 1 輸出 S,40,20,5,2,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-33,D1-3,陣列的基本算法,"設一個陣列，以 A[3], A[4], ..., A[N] 儲存 N 個非零的數值。以下算法的目的是什麼？ 輸入 P K <- P 當 K <= N-1 執行 A[K] <- A[K+1] K <- K+1 N <- N-1",移除 A 內第 P 個數值,將 P 的值增加 1,當 K <= N-1 時互換 A[K] 和 A[K+1] 的數值,計算 A 內數值的總和,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-34,D1-3,模組化,於設計電腦解決方案時使用模組的特徵是什麼？ (1)模組通常是用來解決簡單的問題。 (2)模組可最是可重用的。 (3)開發成本較高。 (4)模組可以獨立開發。,只有(1)和(3),只有(1)和(4),只有(2)和(3),只有(2)和(4),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-28,D2-6,程式測試和除錯,"測試下列算法的邊際個案是什麼？輸入 A 如果 A > 5 則 B ← 10 否則 B ← 20 輸出 A, B",(1) 5 (2) 6 (3) 10 (4) 20,只有 (1) 和 (2),只有 (3) 和 (4),只有 (1),只有 (2), (3) 和 (4),A,,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-10,D2-6,程式測試和除錯,應為下列哪項（些）任務建立試算表「假設」情境？ (1) 尋找在數學考試獲取 90 分或以上的學生。 (2) 估算由不同製造商生產的產品成本。 (3) 建立月平均溫度的圖表。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-34,D2-6,程式測試和除錯,某銀行更新了自動櫃員機系統對現金提取的新限制如下：可提供 $100、$500 和 $1000 鈔票、最低提取金額 = $200、最高提取金額 = $10000。為此系統更新，應使用下列哪組提取金額作為測試數據？,50, 200, 7,000,0, 10,0,,100,200,300,500,1,0,30,0,100,200,600,950,10,0,11,0,100,1000,15,0,20,0,25,0,30,0,C,2,MC
2021-1A-30,D2-6,程式測試和除錯,編寫了程式源碼後，根據解難程序，應執行下列哪項？ (1) 概述問題的輸入和輸出的要求。 (2) 以邊界個案來測試此程式。 (3) 使用流程圖。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-30,D2-6,程式測試和除錯,下列是開發電腦系統的解難程序。這些程序的正確次序是什麼？ (1)測試系統 (2)界定問題 (3)設計算法 (4)編寫程式碼,(2) -> (4) -> (3) -> (1),(2) -> (3) -> (4) -> (1),(3) -> (2) -> (4) -> (1),(4) -> (2) -> (1) -> (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-31,D2-6,程式測試和除錯,細看以下算法： 輸入 n 如果 n < -6 則 y <- 2 否則 如果 n > 9 則 y <- y - 2 否則 y <- y x 2 下列哪組輸入數據最適合用作測試此算法？,-6, 1, 9,9,1, 2,-20,,-6,0,9,15,-20,-10,0,1,10,20,C,2,MC,,,,,,,,,,,,,,,,
2018-1-21,E-1,科技創新,下列哪項是硬碟的最新發展趨勢？ (1)耗電量較低 (2)使用壽命較長 (3)可向較多內置軟件,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-37,E-2,數碼隔閡,下列哪項（些）有助克服在城市裏出現的數碼隔閡？ (1) 在學校實行以自攜電子設備(BYOD)的措施，以取代桌上電腦。 (2) 提供更多免費 WIFI 熱點。 (3) 為每名市民提供多於一個免費電郵戶口。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-35,E-2,健康與安全,一名學生沉迷於網上遊戲，每天玩超過 8 小時。他將會面對哪些健康問題？ (1) 睡眠問題 (2) 視力問題 (3) 情緒問題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-40,E-2,用戶界面的人機工程學,下圖展示使用電腦的人體工學的良好用法。下列哪些設定是必需的？ (1) 位於 P 的手托的角度應可調校。 (2) 位於 Q 的顯示器的角度應可調校。 (3) 位於 R 的桌子的高度應可調校。,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-37,E-2,資訊可靠性,使用互聯網上的資訊來編寫一份報告前應考慮什麼？ (1) 互聯網上有些資訊不可靠。 (2) 互聯網上絕大部分資訊是免費的。 (3) 很多黑客會透過社交媒體盜取個人資料。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-38,E-2,數碼隔閡,下列哪項可縮窄社會內的數碼隔閡？ (1) 向學生提供電腦以供學習 (2) 在餐廳內提供自助點餐機 (3) 在店舖內以電子付款取代現金付款,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-40,E-2,健康及道德議題,佩儀購買了話音識別字典流動應用程式，來查閱文字的含義。當她在流動裝置安裝此程式時，它顯示了允許接達：麥高風、位置、通訊錄的要求。佩儀應允許下列哪項／些設定？ (1)麥高風 (2)位置 (3)通訊錄,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-2,E-2,用戶界面的人機工程學,有兩個在網頁上輸入日期的方法，如圖所示：方法1是月曆，方法2是文字方塊。使用方法1而非方法2的好處是什麼？ (1)減少輸入錯誤 (2)更方便用戶使用 (3)以奇偶檢驗來找出錯誤,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-39,E-2,健康與安全,在工作環境中的電腦採用了人體工學設計原理有什麼主要原因？ (1)避免重複性肌肉勞損 (2)節省電腦的設置成本 (3)提供定制及可調節的設置來滿足不同人士的需要,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-40,E-2,數碼隔閡,世界衞生組織(WHO)指出全世界的 15% 人口均有殘疾。我們可如何為這些人士大幅改善接觸資訊及通訊科技？,送贈殘疾人士筆記型電腦,設置免費電腦中心給殘疾人士上網,為殘疾人士開發合適的工具來接達資訊及通訊科技,為殘疾人士提供免費的資訊及通訊科技培訓,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-35,E-2,用戶界面的人機工程學,在軟件設計中從人體工學方面有什麼良好做法？ (1)固定字體大小 (2)給用戶適當的系統信息 (3)一致的用戶界面,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-36,E-3,保護知識產權的科技,攝影師把他的照片上載至社交媒體網站，讓公眾人士瀏覽。為保障他的知識產權，可在其照片上應用下列哪項？,香港公開密碼匙的基礎建設(PKI),保密插口層(SSL),數碼證書,數碼水印,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-39,E-3,軟件特許使用權,為什麼有人開發開放源碼軟件？ (1) 他們想出售軟件賺取更多金錢。 (2) 他們想更多人使用他們的軟件。 (3) 他們想擁有軟件的版權。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-40,E-3,知識產權,下列哪項做法最有可能在香港侵犯版權？,利用點對點軟件分享軟件分享個人視像。,透過社交媒體網站分享因故障直播。,上載電視節目至個人網站，並與朋友分享。,利用點對點軟件檔案分享軟件搜尋聲音檔案。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-37,E-3,軟件特許使用權,開放源碼軟件的主要特徵是什麼？ (1) 開發商可自訂售價 (2) 用戶可修改源碼 (3) 試用期內用戶可使用所有軟件功能,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-38,E-3,知識產權,某網上商店收集會員的個人資料。下列哪項（些）行動未經會員同意下進行是不恰當的？ (1) 該店傳送所有個人資料加密，並上載至雲端儲存。 (2) 該店傳送所有個人資料予其他網上商店，以使商會會員提供其他服務。 (3) 當一名會員購買美容霜時，該店會永久保存他／她的個人資料，以便將來重新註冊之用。,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-36,E-3,軟件特許使用權,麗珊使用開放源碼軟件時可做什麼？ (1) 使用軟件前向軟件開發商尋求批准。 (2) 修改源碼自用。 (3) 大幅修改源碼，並擁有整個軟件的版權。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-39,E-3,知識產權,下列哪項互聯網活動很可能侵犯了版權？ (1) 從一張舊電影 DVD 擷取了視像，並把它上載至互聯網。 (2) 將數碼相機拍攝的相片，並以對等網絡(p2p)軟件與朋友分享。 (3) 將互聯網下載的新聞文章，引用作出版書籍。,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-39,E-3,軟件特許使用權,莉莉從互聯網下載了三類程式 P、Q和R。她能試用P 一 段時間、改寫Q的源碼和只可使用R的部分功能 。哪類程式是共享軟件？,只有P,只有Q,只有P和R,只有Q和R,C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-36,E-3,知識產權,下列哪些行為可能侵犯了知識產權？ (1)將附有病毒的電子郵件寄給朋友 (2)非法進入一個網上銀行戶口 (3)將掃描後的報紙上載至一個個人網站 (4)上載一個電視節目的視像至互聯網,只有(1)和(2),只有(1)和(4),只有(2)和(3),只有(3)和(4),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-36,E-3,知識產權,李小姐是一名攝影師。張先生於未經李小姐同意下，從她的網站下載大量版權照片，並在某社交社使用。這很可能引致什麼法律後果？ (1)張先生需要向李小姐作出賠償。 (2)張先生可能要受刑事罪行。 (3)張先生需要刪除他來自的補習社。,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-39,E-3,保護知識產權的科技,在互聯網上所發布的照片，有什麼適當措施可保護其知識產權？ (1)數碼簽署 (2)數碼水印 (3)防火牆,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,